date,rate
Juli 2013,7.3
Agustus 2013,7.2
September 2013,7.2
Oktober 2013,7.2
November 2013,6.9
Desember 2013,6.7
Januari 2014,6.6
Februari 2014,6.7
Maret 2014,6.7
April 2014,6.2
Mei 2014,6.3
Juni 2014,6.1
Juli 2014,6.2
Agustus 2014,6.1
September 2014,5.9
Oktober 2014,5.7
November 2014,5.8
Desember 2014,5.6
Januari 2015,5.7
Februari 2015,5.5
Maret 2015,5.4
April 2015,5.4
Mei 2015,5.6
Juni 2015,5.3
Juli 2015,5.2
Agustus 2015,5.1
September 2015,5
Oktober 2015,5
November 2015,5.1
Desember 2015,5
Januari 2016,4.8
Februari 2016,4.9
Maret 2016,5
April 2015,5.1
Mei 2016,4.8
Juni 2016,4.9
Juli 2016,4.8
Agustus 2016,4.9
September 2016,5
Oktober 2016,4.9
November 2016,4.7
Desember 2016,4.7
Januari 2017,4.7
Februari 2017,4.6
Maret 2017,4.4
April 2017,4.4
Mei 2017,4.4
Juni 2017,4.3
Juli 2017,4.3
Agustus 2017,4.4
September 2017,4.3
Oktober 2017,4.2
November 2017,4.2
Desember 2017,4.1
Januari 2018,4
Februari 2018,4.1
Maret 2018,4
April 2018,4
Mei 2018,3.8
Juni 2018,4
Juli 2018,3.8
Agustus 2018,3.8
September 2018,3.7
Oktober 2018,3.8
November 2018,3.8
Desember 2018,3.9
Januari 2019,4
Februari 2019,3.8
Maret 2019,3.8
April 2019,3.6
Mei 2019,3.7
Juni 2019,3.6
Juli 2019,3.7
Agustus 2019,3.7
September 2019,3.5
Oktober 2019,3.6
November 2019,3.6
Desember 2019,3.6
Januari 2020,3.5
Februari 2020,3.5
Maret 2020,4.4
April 2020,14.7
Mei 2020,13.2
Juni 2020,11
Juli 2020,10.2
Agustus 2020,8.4
September 2020,7.9
Oktober 2020,6.9
November 2020,6.7
Desember 2020,6.7
Januari 2021,6.3
Februari 2021,6.2
Maret 2021,6.1
April 2021,6.1
Mei 2021,5.8
Juni 2021,5.9
Juli 2021,5.4
Agustus 2021,5.2
September 2021,4.8
Oktober 2021,4.5
November 2021,4.2
Desember 2021,3.9
Januari 2022,4
Februari 2022,3.8
Maret 2022,3.6
April 2022,3.6
Mei 2022,3.6
Juni 2022,3.6
Juli 2022,3.5
Agustus 2022,3.7
September 2022,3.5
Oktober 2022,3.7
November 2022,3.6
Desember 2022,3.5
Januari 2023,3.4
Februari 2023,3.6
Maret 2023,3.5
April 2023,3.4
Mei 2023,3.7
Juni 2023,3.6
Juli 2023,3.5
